Movie Name,Script File,Budget,Domestic Gross,Worldwide Gross
Men in Black,Men-in-Black_Screenplay.txt,"$90,000,000","$250,690,539","$587,790,539"
Rush Hour 2,Rush-Hour-2_Screenplay.txt,"$90,000,000","$226,164,286","$347,425,832"
Sherlock Holmes,Sherlock-Holmes_Screenplay.txt,"$90,000,000","$209,028,679","$498,438,212"
What Lies Beneath,What-Lies-Beneath_Screenplay.txt,"$90,000,000","$155,464,351","$288,693,989"
Tropic Thunder,Tropic-Thunder_Screenplay.txt,"$90,000,000","$110,515,313","$191,145,256"
Valkyrie,Valkyrie_Screenplay.txt,"$90,000,000","$83,107,829","$203,932,174"
Hollow Man,Hollow-Man_Screenplay.txt,"$90,000,000","$73,209,340","$191,200,000"
Mission to Mars,Mission-to-Mars_Screenplay.txt,"$90,000,000","$60,874,615","$106,000,000"
Twister,Twister_Screenplay.txt,"$88,000,000","$241,688,385","$495,700,000"
Fantastic Four,Fantastic-Four_Screenplay.txt,"$87,500,000","$154,696,080","$333,132,750"
Hannibal,Hannibal_Screenplay.txt,"$87,000,000","$165,092,266","$350,100,280"
Cast Away,Cast-Away_Screenplay.txt,"$85,000,000","$233,632,142","$427,230,516"
Happy Feet,Happy-Feet_Screenplay.txt,"$85,000,000","$198,000,317","$385,000,315"
Ocean\'s Eleven,Ocean's-Eleven_Screenplay.txt,"$85,000,000","$183,417,150","$450,728,529"
Air Force One,Air-Force-One_Screenplay.txt,"$85,000,000","$172,956,409","$315,268,353"
Elvis,Elvis_Screenplay.txt,"$85,000,000","$151,416,153","$279,938,634"
It’s Complicated,It's-Complicated_Screenplay.txt,"$85,000,000","$112,735,375","$224,614,744"
Enemy of the State,Enemy-of-the-State_Screenplay.txt,"$85,000,000","$111,549,836","$250,649,836"
Meet Joe Black,Meet-Joe-Black_Screenplay.txt,"$85,000,000","$44,650,003","$44,650,003"
Collateral Damage,Collateral-Damage_Screenplay.txt,"$85,000,000","$40,048,332","$78,353,508"
Judge Dredd,Judge-Dredd_Screenplay.txt,"$85,000,000","$34,687,912","$113,487,912"
Scott Pilgrim vs. The World,Scott-Pilgrim-vs-the-World_Screenplay.txt,"$85,000,000","$32,951,310","$49,245,842"
Bruce Almighty,Bruce-Almighty_Screenplay.txt,"$81,000,000","$242,704,995","$484,468,608"
Mission: Impossible,Mission-Impossible_Screenplay.txt,"$80,000,000","$180,981,886","$457,697,994"
Something's Gotta Give,Something's-Gotta-Give_Screenplay.txt,"$80,000,000","$124,685,242","$266,685,242"
Eagle Eye,Eagle-Eye_Screenplay.txt,"$80,000,000","$101,440,743","$180,585,259"
Cold Mountain,Cold-Mountain_Screenplay.txt,"$80,000,000","$95,632,614","$165,173,909"
Swordfish,Swordfish_Screenplay.txt,"$80,000,000","$69,772,969","$147,080,413"
Lost In Space,Lost-in-Space_Screenplay.txt,"$80,000,000","$69,117,629","$136,047,317"
Mighty Joe Young,Mighty-Joe-Young_Screenplay.txt,"$80,000,000","$50,632,037","$50,632,037"
Little Nicky,Little-Nicky_Screenplay.txt,"$80,000,000","$39,442,871","$58,270,391"
