Movie Name,Script File,Budget,Domestic Gross,Worldwide Gross
Frequency,Frequency_Screenplay.txt,"$31,000,000","$44,983,704","$68,079,671"
Get Shorty,Get-Shorty_Screenplay.txt,"$30,250,000","$72,021,008","$115,021,008"
Toy Story,Toy-Story_Screenplay.txt,"$30,000,000","$192,523,233","$365,270,951"
La La Land,La-La-Land_Screenplay.txt,"$30,000,000","$151,101,803","$433,850,071"
Analyze This,Analyze-This_Screenplay.txt,"$30,000,000","$106,885,658","$176,885,658"
Se7en,Se7en_Screenplay.txt,"$30,000,000","$100,125,643","$328,125,643"
Looper,Looper_Screenplay.txt,"$30,000,000","$66,486,205","$170,466,405"
Midnight in Paris,Midnight-in-Paris_Screenplay.txt,"$30,000,000","$56,816,662","$162,275,213"
Blow,Blow_Screenplay.txt,"$30,000,000","$52,990,775","$83,282,296"
Sicario,Sicario_Screenplay.txt,"$30,000,000","$46,889,293","$84,264,182"
Black Rain,Black-Rain_Screenplay.txt,"$30,000,000","$45,892,212","$133,892,212"
John Wick,John-Wick_Screenplay.txt,"$30,000,000","$43,037,835","$87,790,603"
Drag Me To Hell,Drag-Me-to-Hell_Screenplay.txt,"$30,000,000","$42,100,625","$91,388,487"
Hanna,Hanna_Screenplay.txt,"$30,000,000","$40,259,119","$65,343,694"
Larry Crowne,Larry-Crowne_Screenplay.txt,"$30,000,000","$35,608,245","$61,449,135"
9,9_Screenplay.txt,"$30,000,000","$31,749,894","$48,559,999"
Get on Up,Get-on-Up_Screenplay.txt,"$30,000,000","$30,569,935","$33,339,868"
Virtuosity,Virtuosity_Screenplay.txt,"$30,000,000","$23,998,226","$23,998,226"
Fright Night,Fright-Night_Screenplay.txt,"$30,000,000","$18,298,649","$40,520,649"
Eight Legged Freaks,Eight-Legged-Freaks_Screenplay.txt,"$30,000,000","$17,266,505","$36,722,311"
Antitrust,Antitrust_Screenplay.txt,"$30,000,000","$10,965,209","$17,865,209"
Machine Gun Preacher,Machine-Gun-Preacher_Screenplay.txt,"$30,000,000","$538,690","$3,721,988"
12 Monkeys,12-Monkeys_Screenplay.txt,"$29,000,000","$57,141,459","$168,841,459"
Awakenings,Awakenings_Screenplay.txt,"$29,000,000","$51,636,504","$51,636,504"
Confessions of a Dangerous Mind,Confessions-of-a-Dangerous-Mind_Screenplay.txt,"$29,000,000","$16,007,718","$33,013,805"
Mumford,Mumford_Screenplay.txt,"$28,700,000","$4,559,569","$4,559,569"
Indiana Jones and the Temple of Doom,Indiana-Jones-and-the-Temple-of-Doom_Screenplay.txt,"$28,000,000","$179,880,271","$333,080,271"
Straight Outta Compton,Straight-Outta-Compton_Screenplay.txt,"$28,000,000","$161,197,785","$202,182,981"
Die Hard,Die-Hard_Screenplay.txt,"$28,000,000","$85,892,546","$143,651,650"
30 Minutes or Less,30-Minutes-or-Less_Screenplay.txt,"$28,000,000","$37,053,924","$41,146,935"
Blade Runner,Blade-Runner_Screenplay.txt,"$28,000,000","$32,656,328","$39,581,774"
We Own the Night,We-Own-the-Night_Screenplay.txt,"$28,000,000","$28,563,179","$55,307,857"
Kundun,Kundun_Screenplay.txt,"$28,000,000","$5,686,694","$5,686,694"
Knocked Up,Knocked-Up_Screenplay.txt,"$27,500,000","$148,761,765","$219,265,952"
Anonymous,Anonymous_Screenplay.txt,"$27,500,000","$4,463,292","$15,815,509"
Limitless,Limitless_Screenplay.txt,"$27,000,000","$79,249,455","$155,564,919"
Lake Placid,Lake-Placid_Screenplay.txt,"$27,000,000","$31,770,413","$31,770,413"
Dark City,Dark-City_Screenplay.txt,"$27,000,000","$14,435,076","$27,257,061"
Case 39,Case-39_Screenplay.txt,"$27,000,000","$13,261,851","$28,773,827"
Suspect Zero,Suspect-Zero_Screenplay.txt,"$27,000,000","$8,712,564","$8,723,600"
Shakespeare in Love,Shakespeare-in-Love_Screenplay.txt,"$26,000,000","$100,317,794","$279,500,000"
Pineapple Express,Pineapple-Express_Screenplay.txt,"$26,000,000","$87,341,380","$102,404,019"
Philadelphia,Philadelphia_Screenplay.txt,"$26,000,000","$77,324,422","$201,324,422"
Final Destination 2,Final-Destination-2_Screenplay.txt,"$26,000,000","$46,896,664","$90,396,664"
Legion,Legion_Screenplay.txt,"$26,000,000","$40,168,080","$67,647,574"
Blood and Wine,Blood-and-Wine_Screenplay.txt,"$26,000,000","$1,083,350","$1,083,350"
Gran Torino,Gran-Torino_Screenplay.txt,"$25,000,000","$148,095,302","$274,543,085"
Schindler’s List,Schindler's-List_Screenplay.txt,"$25,000,000","$96,898,818","$322,197,130"
Up in the Air,Up-in-the-Air_Screenplay.txt,"$25,000,000","$83,823,381","$166,842,739"
Freddy vs. Jason,Freddy-vs.-Jason_Screenplay.txt,"$25,000,000","$82,622,655","$114,576,403"
No Country for Old Men,No-Country-for-Old-Men_Screenplay.txt,"$25,000,000","$74,273,505","$164,035,753"
No Strings Attached,No-Strings-Attached_Screenplay.txt,"$25,000,000","$70,662,220","$149,228,078"
Tombstone,Tombstone_Screenplay.txt,"$25,000,000","$56,505,065","$56,505,065"
Scarface,Scarface_Screenplay.txt,"$25,000,000","$45,227,398","$45,233,082"
August: Osage County,August-Osage-County_Screenplay.txt,"$25,000,000","$37,738,810","$50,738,810"
Cradle 2 the Grave,Cradle-2-the-Grave_Screenplay.txt,"$25,000,000","$34,657,731","$56,434,942"
Warrior,Warrior_Screenplay.txt,"$25,000,000","$13,657,115","$24,215,385"
Deception,Deception_Screenplay.txt,"$25,000,000","$4,598,506","$12,850,033"
Scream 2,Scream-2_Screenplay.txt,"$24,000,000","$101,363,301","$172,363,301"
I Still Know What You Did Last Summer,I-Still-Know-What-You-Did-Last-Summer_Screenplay.txt,"$24,000,000","$40,020,622","$40,020,622"
Nurse Betty,Nurse-Betty_Screenplay.txt,"$24,000,000","$25,170,054","$27,732,366"
Foxcatcher,Foxcatcher_Screenplay.txt,"$24,000,000","$12,096,300","$19,303,058"
Bad Boys,Bad-Boys_Screenplay.txt,"$23,000,000","$65,647,413","$141,247,413"
Final Destination,Final-Destination_Screenplay.txt,"$23,000,000","$53,302,314","$112,036,870"
Pitch Black,Pitch-Black_Screenplay.txt,"$23,000,000","$39,235,088","$53,182,088"
Her,Her_Screenplay.txt,"$23,000,000","$25,568,251","$48,038,809"
Ghost,Ghost_Screenplay.txt,"$22,000,000","$217,631,306","$517,599,988"
There's Something About Mary,There's-Something-About-Mary_Screenplay.txt,"$22,000,000","$176,484,651","$369,884,651"
Gandhi,Gandhi_Screenplay.txt,"$22,000,000","$52,767,889","$127,767,889"
I Am Sam,I-am-Sam_Screenplay.txt,"$22,000,000","$40,270,895","$92,542,418"
Jay and Silent Bob Strike Back,Jay-and-Silent-Bob-Strike-Back_Screenplay.txt,"$22,000,000","$30,059,386","$33,762,400"
Silver Linings Playbook,Silver-Linings-Playbook_Screenplay.txt,"$21,000,000","$132,092,958","$236,412,453"
Tinker Tailor Soldier Spy,Tinker-Tailor-Soldier-Spy_Screenplay.txt,"$21,000,000","$24,149,393","$81,428,388"
The Rage: Carrie 2,The-Rage-Carrie-2_Screenplay.txt,"$21,000,000","$17,760,244","$17,760,244"
eXistenZ,eXistenZ_Screenplay.txt,"$20,700,000","$2,840,417","$2,840,417"
Jaws 2,Jaws-2_Screenplay.txt,"$20,000,000","$102,922,376","$208,900,376"
Disturbia,Disturbia_Screenplay.txt,"$20,000,000","$80,818,974","$118,537,627"
Obsessed,Obsessed_Screenplay.txt,"$20,000,000","$68,261,644","$73,964,713"
12 Years a Slave,12-Years-a-Slave_Screenplay.txt,"$20,000,000","$56,671,993","$180,765,061"
Edward Scissorhands,Edward-Scissorhands_Screenplay.txt,"$20,000,000","$53,976,987","$53,980,220"
Orphan,Orphan_Screenplay.txt,"$20,000,000","$41,596,251","$78,769,428"
Eternal Sunshine of the Spotless Mind,Eternal-Sunshine-of-the-Spotless-Mind_Screenplay.txt,"$20,000,000","$34,366,518","$72,401,378"
Babel,Babel_Screenplay.txt,"$20,000,000","$34,302,837","$132,121,212"
Copycat,Copycat_Screenplay.txt,"$20,000,000","$32,051,917","$32,051,917"
She's Out of My League,She's-Out-of-My-League_Screenplay.txt,"$20,000,000","$32,010,860","$48,680,977"
Milk,Milk_Screenplay.txt,"$20,000,000","$31,841,299","$57,293,371"
Ghost Ship,Ghost-Ship_Screenplay.txt,"$20,000,000","$30,113,491","$68,349,884"
Wild Things,Wild-Things_Screenplay.txt,"$20,000,000","$29,795,299","$55,576,210"
High Fidelity,High-Fidelity_Screenplay.txt,"$20,000,000","$27,277,055","$47,881,663"
From Dusk Till Dawn,From-Dusk-Till-Dawn_Screenplay.txt,"$20,000,000","$25,728,961","$25,736,162"
Monte Carlo,Monte-Carlo_Screenplay.txt,"$20,000,000","$23,186,769","$39,686,769"
Psycho,Psycho_Screenplay.txt,"$20,000,000","$21,541,218","$37,226,218"
Into the Wild,Into-the-Wild_Screenplay.txt,"$20,000,000","$18,354,356","$56,822,960"
A Most Violent Year,A-Most-Violent-Year_Screenplay.txt,"$20,000,000","$5,749,134","$8,869,722"
A Scanner Darkly,A-Scanner-Darkly_Screenplay.txt,"$20,000,000","$5,501,616","$7,405,084"
Alone in the Dark,Alone-in-the-Dark_Screenplay.txt,"$20,000,000","$5,178,569","$10,588,079"
"Synecdoche, New York","Synecdoche,-New-York_Screenplay.txt","$20,000,000","$3,083,538","$4,383,538"
Dances with Wolves,Dances-with-Wolves_Screenplay.txt,"$19,000,000","$184,208,842","$424,208,805"
Bad Teacher,Bad-Teacher_Screenplay.txt,"$19,000,000","$100,292,856","$215,448,997"
Gone Baby Gone,Gone-Baby-Gone_Screenplay.txt,"$19,000,000","$20,300,218","$34,359,030"
Adaptation,Adaptation_Screenplay.txt,"$18,500,000","$22,498,520","$32,531,756"
Fear and Loathing in Las Vegas,Fear-and-Loathing-in-Las-Vegas_Screenplay.txt,"$18,500,000","$10,680,275","$13,711,903"
Big,Big_Screenplay.txt,"$18,000,000","$114,968,774","$151,665,347"
Legally Blonde,Legally-Blonde_Screenplay.txt,"$18,000,000","$96,493,426","$141,809,235"
Bad Santa,Bad-Santa_Screenplay.txt,"$18,000,000","$60,060,328","$77,147,031"
Predator,Predator_Screenplay.txt,"$18,000,000","$59,735,548","$98,267,558"
Austin Powers: International Man of Mystery,Austin-Powers---International-Man-of-Mystery_Screenplay.txt,"$18,000,000","$53,883,989","$67,683,989"
Amadeus,Amadeus_Screenplay.txt,"$18,000,000","$51,973,029","$51,973,029"
Prom Night,Prom-Night_Screenplay.txt,"$18,000,000","$43,869,350","$57,193,655"
Peggy Sue Got Married,Peggy-Sue-Got-Married_Screenplay.txt,"$18,000,000","$41,382,841","$41,382,841"
Observe and Report,Observe-and-Report_Screenplay.txt,"$18,000,000","$24,007,324","$27,148,898"
Raging Bull,Raging-Bull_Screenplay.txt,"$18,000,000","$23,380,203","$23,417,649"
127 Hours,127-Hours_Screenplay.txt,"$18,000,000","$18,335,230","$60,217,171"
Life as a House,Life-As-A-House_Screenplay.txt,"$18,000,000","$15,652,637","$23,889,158"
Youth in Revolt,Youth-in-Revolt_Screenplay.txt,"$18,000,000","$15,285,588","$19,685,588"
Dragonslayer,Dragonslayer_Screenplay.txt,"$18,000,000","$6,000,000","$6,000,000"
Ed Wood,Ed-Wood_Screenplay.txt,"$18,000,000","$5,828,466","$5,828,734"
RocknRolla,RocknRolla_Screenplay.txt,"$18,000,000","$5,700,626","$27,794,339"
Superbad,Superbad_Screenplay.txt,"$17,500,000","$121,463,226","$169,955,142"
Hotel Rwanda,Hotel-Rwanda_Screenplay.txt,"$17,500,000","$23,519,128","$36,520,451"
A Quiet Place,A-Quiet-Place_Screenplay.txt,"$17,000,000","$188,024,361","$334,876,670"
Aliens,Aliens_Screenplay.txt,"$17,000,000","$85,160,248","$183,291,893"
Sideways,Sideways_Screenplay.txt,"$17,000,000","$71,502,303","$109,726,800"
Evil Dead,Evil-Dead_Screenplay.txt,"$17,000,000","$54,239,856","$99,010,045"
Smokin' Aces,Smokin'-Aces_Screenplay.txt,"$17,000,000","$35,662,731","$57,263,440"
Tron,TRON_Screenplay.txt,"$17,000,000","$26,918,576","$26,919,100"
They,They_Screenplay.txt,"$17,000,000","$12,840,842","$16,140,842"
My Girl,My-Girl_Screenplay.txt,"$16,500,000","$58,011,485","$58,011,485"
Wall Street,Wall-Street_Screenplay.txt,"$16,500,000","$43,848,100","$43,848,100"
Sense and Sensibility,Sense-and-Sensibility_Screenplay.txt,"$16,500,000","$42,993,774","$134,993,774"
Dead Poets Society,Dead-Poets-Society_Screenplay.txt,"$16,400,000","$95,860,116","$239,500,000"
Moonrise Kingdom,Moonrise-Kingdom_Screenplay.txt,"$16,000,000","$45,512,466","$68,848,446"
Remember Me,Remember-Me_Screenplay.txt,"$16,000,000","$19,068,240","$56,506,120"
Jennifer's Body,Jennifer's-Body_Screenplay.txt,"$16,000,000","$16,204,793","$31,943,401"
Highlander,Highlander_Screenplay.txt,"$16,000,000","$5,900,000","$12,900,000"
Detroit Rock City,Detroit-Rock-City_Screenplay.txt,"$16,000,000","$4,217,115","$5,825,314"
Slither,Slither_Screenplay.txt,"$15,250,000","$7,802,450","$12,930,343"
Top Gun,Top-Gun_Screenplay.txt,"$15,000,000","$180,470,489","$357,463,748"
American Beauty,American-Beauty_Screenplay.txt,"$15,000,000","$130,058,047","$356,258,047"
"Crouching Tiger, Hidden Dragon","Crouching-Tiger,-Hidden-Dragon_Screenplay.txt","$15,000,000","$128,519,357","$213,966,221"
Twins,Twins_Screenplay.txt,"$15,000,000","$111,936,388","$216,600,000"
BlacKkKlansman,BlacKkKlansman_Screenplay.txt,"$15,000,000","$49,275,340","$93,411,426"
When a Stranger Calls,When-a-Stranger-Calls_Screenplay.txt,"$15,000,000","$47,860,214","$67,215,435"
Wag the Dog,Wag-the-Dog_Screenplay.txt,"$15,000,000","$43,057,470","$64,252,038"
Drive,Drive_Screenplay.txt,"$15,000,000","$35,060,689","$81,357,930"
Malibu’s Most Wanted,Malibu's-Most-Wanted_Screenplay.txt,"$15,000,000","$34,308,901","$34,499,204"
All About Steve,All-About-Steve_Screenplay.txt,"$15,000,000","$33,862,903","$40,127,259"
Boogie Nights,Boogie-Nights_Screenplay.txt,"$15,000,000","$26,410,771","$43,111,725"
Highlander: Endgame,Highlander-Endgame_Screenplay.txt,"$15,000,000","$12,801,190","$12,801,190"
Confidence,Confidence_Screenplay.txt,"$15,000,000","$12,212,417","$12,970,401"
Brazil,Brazil_Screenplay.txt,"$15,000,000","$9,929,135","$9,934,484"
Black Snake Moan,Black-Snake-Moan_Screenplay.txt,"$15,000,000","$9,396,870","$10,951,153"
Mulholland Drive,Mulholland-Drive_Screenplay.txt,"$15,000,000","$7,219,578","$20,780,568"
Groundhog Day,Groundhog-Day_Screenplay.txt,"$14,600,000","$71,097,843","$71,112,677"
Pretty Woman,Pretty-Woman_Screenplay.txt,"$14,000,000","$178,406,268","$432,566,361"
Slumdog Millionaire,Slumdog-Millionaire_Screenplay.txt,"$14,000,000","$141,330,703","$383,825,427"
Jojo Rabbit,Jojo-Rabbit_Screenplay.txt,"$14,000,000","$33,370,906","$86,878,073"
Jason X,Jason-X_Screenplay.txt,"$14,000,000","$13,121,555","$16,951,798"
Margaret,Margaret_Screenplay.txt,"$14,000,000","$47,185","$623,292"
Clueless,Clueless_Screenplay.txt,"$13,700,000","$56,598,476","$57,956,789"
Black Swan,Black-Swan_Screenplay.txt,"$13,000,000","$106,954,678","$331,266,710"
Save the Last Dance,Save-the-Last-Dance_Screenplay.txt,"$13,000,000","$91,038,276","$122,244,329"
10 Things I Hate About You,10-Things-I-Hate-About-You_Screenplay.txt,"$13,000,000","$38,177,966","$60,413,950"
Ex Machina,Ex-Machina_Screenplay.txt,"$13,000,000","$25,440,971","$38,261,299"
Being John Malkovich,Being-John-Malkovich_Screenplay.txt,"$13,000,000","$22,858,926","$32,382,381"
Room,Room_Screenplay.txt,"$13,000,000","$14,677,674","$36,316,727"
Serial Mom,Serial-Mom_Screenplay.txt,"$13,000,000","$7,881,335","$7,884,087"
Birthday Girl,Birthday-Girl_Screenplay.txt,"$13,000,000","$4,919,896","$8,130,727"
"I Love You, Phillip Morris",I-Love-You-Phillip-Morris_Screenplay.txt,"$13,000,000","$2,037,459","$23,014,027"
Machete,Machete_Screenplay.txt,"$12,500,000","$26,593,646","$46,370,970"
True Romance,True-Romance_Screenplay.txt,"$12,500,000","$12,281,000","$12,643,293"
Jaws,Jaws_Screenplay.txt,"$12,000,000","$272,965,550","$483,655,893"
American Pie,American-Pie_Screenplay.txt,"$12,000,000","$101,800,948","$234,723,148"
Star Trek II: The Wrath of Khan,Star-Trek-II-The-Wrath-of-Khan_Screenplay.txt,"$12,000,000","$78,912,963","$95,800,000"
Ace Ventura: Pet Detective,Ace-Ventura-Pet-Detective_Screenplay.txt,"$12,000,000","$72,217,396","$107,217,396"
Witness,Witness_Screenplay.txt,"$12,000,000","$65,532,576","$65,532,576"
Chronicle,Chronicle_Screenplay.txt,"$12,000,000","$64,575,175","$123,681,790"
Jackie Brown,Jackie-Brown_Screenplay.txt,"$12,000,000","$39,673,162","$74,727,492"
Crank,Crank_Screenplay.txt,"$12,000,000","$27,838,408","$43,924,923"
Stir of Echoes,Stir-of-Echoes_Screenplay.txt,"$12,000,000","$21,133,087","$23,059,379"
Rachel Getting Married,Rachel-Getting-Married_Screenplay.txt,"$12,000,000","$12,796,861","$17,475,475"
Arbitrage,Arbitrage_Screenplay.txt,"$12,000,000","$7,919,574","$35,830,713"
Gremlins,Gremlins_Screenplay.txt,"$11,000,000","$151,661,913","$152,445,758"
Major League,Major-League_Screenplay.txt,"$11,000,000","$49,793,054","$49,793,054"
Phone Booth,Phone-Booth_Screenplay.txt,"$11,000,000","$46,566,212","$97,837,138"
Cruel Intentions,Cruel-Intentions_Screenplay.txt,"$11,000,000","$38,665,260","$76,238,901"
Barry Lyndon,Barry-Lyndon_Screenplay.txt,"$11,000,000","$20,000,000","$20,221,274"
Army of Darkness,Army-of-Darkness_Screenplay.txt,"$11,000,000","$11,502,976","$21,502,976"
Alien,Alien_Screenplay.txt,"$10,700,000","$64,324,049","$186,955,482"
2001: A Space Odyssey,2001-A-Space-Odyssey_Screenplay.txt,"$10,500,000","$59,936,321","$71,796,856"
Good Will Hunting,Good-Will-Hunting_Screenplay.txt,"$10,000,000","$138,433,435","$225,925,989"
St. Elmo’s Fire,St.-Elmo's-Fire_Screenplay.txt,"$10,000,000","$37,800,000","$37,800,000"
Commando,Commando_Screenplay.txt,"$10,000,000","$35,073,978","$35,078,913"
Dogma,Dogma_Screenplay.txt,"$10,000,000","$30,651,422","$43,948,865"
Snatch,Snatch_Screenplay.txt,"$10,000,000","$30,093,107","$83,593,107"
Mud,Mud_Screenplay.txt,"$10,000,000","$21,590,086","$31,556,959"
Rushmore,Rushmore_Screenplay.txt,"$10,000,000","$17,105,219","$19,080,435"
Tremors,Tremors_Screenplay.txt,"$10,000,000","$16,667,084","$16,668,089"
My Week with Marilyn,My-Week-with-Marilyn_Screenplay.txt,"$10,000,000","$14,597,405","$34,240,572"
Big Eyes,Big-Eyes_Screenplay.txt,"$10,000,000","$14,482,031","$27,317,872"
Office Space,Office-Space_Screenplay.txt,"$10,000,000","$10,827,813","$12,179,708"
Drop Dead Gorgeous,Drop-Dead-Gorgeous_Screenplay.txt,"$10,000,000","$10,571,408","$10,571,408"
Very Bad Things,Very-Bad-Things_Screenplay.txt,"$10,000,000","$9,949,470","$21,094,974"
Bones,Bones_Screenplay.txt,"$10,000,000","$7,316,658","$8,378,853"
Cedar Rapids,Cedar-Rapids_Screenplay.txt,"$10,000,000","$6,861,102","$7,862,131"
American History X,American-History-X_Screenplay.txt,"$10,000,000","$6,719,864","$6,719,864"
Bamboozled,Bamboozled_Screenplay.txt,"$10,000,000","$2,185,266","$2,373,937"
Cecil B. Demented,Cecil-B.-Demented_Screenplay.txt,"$10,000,000","$1,276,984","$1,953,882"
Coriolanus,Coriolanus_Screenplay.txt,"$10,000,000","$749,641","$2,536,707"
Amour,Amour_Screenplay.txt,"$9,700,000","$6,738,954","$36,787,044"
Next Friday,Next-Friday_Screenplay.txt,"$9,500,000","$57,176,582","$59,675,307"
Heavy Metal,Heavy-Metal_Screenplay.txt,"$9,300,000","$19,571,091","$19,571,091"
All the President’s Men,All-the-President's-Men_Screenplay.txt,"$8,500,000","$51,048,435","$51,048,857"
Election,Election_Screenplay.txt,"$8,500,000","$14,943,582","$17,202,854"
Pulp Fiction,Pulp-Fiction_Screenplay.txt,"$8,000,000","$107,928,762","$212,891,760"
Easy A,Easy-A_Screenplay.txt,"$8,000,000","$58,401,464","$76,200,721"
28 Days Later…,28-Days-Later_Screenplay.txt,"$8,000,000","$45,064,915","$82,784,517"
American Psycho,American-Psycho_Screenplay.txt,"$8,000,000","$15,070,285","$34,270,285"
Under Fire,Under-Fire_Screenplay.txt,"$8,000,000","$5,696,391","$5,696,391"
(500) Days of Summer,500-Days-of-Summer_Screenplay.txt,"$7,500,000","$32,425,665","$34,515,303"
An Education,An-Education_Screenplay.txt,"$7,500,000","$12,574,914","$29,652,736"
Extract,Extract_Screenplay.txt,"$7,500,000","$10,823,158","$10,849,158"
Juno,Juno_Screenplay.txt,"$7,000,000","$143,495,265","$231,450,102"
Capote,Capote_Screenplay.txt,"$7,000,000","$28,750,530","$49,924,079"
Logan's Run,Logan's-Run_Screenplay.txt,"$7,000,000","$25,000,000","$25,000,000"
Fargo,Fargo_Screenplay.txt,"$7,000,000","$24,567,751","$51,203,507"
Buffy the Vampire Slayer,Buffy-the-Vampire-Slayer_Screenplay.txt,"$7,000,000","$14,231,669","$14,231,669"
"House of 1,000 Corpses",House-of-1000-Corpses_Screenplay.txt,"$7,000,000","$12,634,962","$17,005,466"
Silver Bullet,Silver-Bullet_Screenplay.txt,"$7,000,000","$10,803,211","$10,803,211"
A Serious Man,A-Serious-Man_Screenplay.txt,"$7,000,000","$9,228,788","$30,360,570"
Get Low,Get-Low_Screenplay.txt,"$7,000,000","$9,176,933","$10,828,305"
20th Century Women,20th-Century-Women_Screenplay.txt,"$7,000,000","$5,664,763","$9,353,729"
Hesher,Hesher_Screenplay.txt,"$7,000,000","$382,946","$382,946"
Go!,Go_Screenplay.txt,"$6,500,000","$16,875,273","$28,383,441"
Shame,Shame_Screenplay.txt,"$6,500,000","$4,002,293","$20,412,841"
Ordinary People,Ordinary-People_Screenplay.txt,"$6,200,000","$52,302,978","$52,302,978"
Platoon,Platoon_Screenplay.txt,"$6,000,000","$137,963,328","$137,978,395"
Mary Poppins,Mary-Poppins_Screenplay.txt,"$6,000,000","$102,272,145","$102,298,714"
Do the Right Thing,Do-The-Right-Thing_Screenplay.txt,"$6,000,000","$26,004,026","$26,051,502"
Escape from New York,Escape-From-New-York_Screenplay.txt,"$6,000,000","$25,244,700","$25,276,350"
Chinatown,Chinatown_Screenplay.txt,"$6,000,000","$23,169,837","$23,170,994"
Beasts of No Nation,Beasts-of-No-Nation_Screenplay.txt,"$6,000,000","$90,777","$90,777"
Ghost World,Ghost-World_Screenplay.txt,"$5,500,000","$6,217,849","$8,761,608"
Grabbers,Grabbers_Screenplay.txt,"$5,300,000",$0,"$440,821"
Get Out,Get-Out_Screenplay.txt,"$5,000,000","$175,837,935","$252,297,405"
Dallas Buyers Club,Dallas-Buyers-Club_Screenplay.txt,"$5,000,000","$27,298,285","$60,611,845"
Memento,Memento_Screenplay.txt,"$5,000,000","$25,544,867","$39,719,431"
Halloween: The Curse of Michael Myers,Halloween-The-Curse-of-Michael-Myers_Screenplay.txt,"$5,000,000","$15,126,948","$15,126,948"
Friday the 13th Part VIII: Jason Takes Manhattan,Friday-the-13th-Part-VIII-Jason-Takes-Manhattan_Screenplay.txt,"$5,000,000","$14,343,976","$14,343,976"
Lone Star,Lone-Star_Screenplay.txt,"$5,000,000","$12,961,389","$12,961,389"
April Fool's Day,April-Fool's-Day_Screenplay.txt,"$5,000,000","$12,947,763","$12,947,763"
Diner,Diner_Screenplay.txt,"$5,000,000","$12,592,907","$12,592,907"
Sunshine Cleaning,Sunshine-Cleaning_Screenplay.txt,"$5,000,000","$12,062,558","$17,329,337"
Win Win,Win-Win_Screenplay.txt,"$5,000,000","$10,179,275","$11,869,063"
Made,Made_Screenplay.txt,"$5,000,000","$5,308,707","$5,476,060"
Moon,Moon_Screenplay.txt,"$5,000,000","$5,010,163","$10,676,073"
Heavenly Creatures,Heavenly-Creatures_Screenplay.txt,"$5,000,000","$3,046,086","$5,438,120"
Light Sleeper,Light-Sleeper_Screenplay.txt,"$5,000,000","$1,050,861","$1,050,861"
Bottle Rocket,Bottle-Rocket_Screenplay.txt,"$5,000,000","$407,488","$407,576"
Sling Blade,Sling-Blade_Screenplay.txt,"$4,833,610","$24,475,416","$34,175,000"
Only God Forgives,Only-God-Forgives_Screenplay.txt,"$4,800,000","$775,849","$4,494,560"
Take Shelter,Take-Shelter_Screenplay.txt,"$4,750,000","$1,728,953","$4,972,016"
Fast Times at Ridgemont High,Fast-Times-at-Ridgemont-High_Screenplay.txt,"$4,500,000","$27,092,880","$27,093,116"
25th Hour,25th-Hour_Screenplay.txt,"$4,500,000","$13,084,595","$25,344,490"
Bound,Bound_Screenplay.txt,"$4,500,000","$3,802,260","$7,011,317"
After.Life,After.Life_Screenplay.txt,"$4,500,000","$108,596","$2,481,925"
One Flew Over the Cuckoo\'s Nest,One-Flew-Over-the-Cuckoo's-Nest_Screenplay.txt,"$4,400,000","$108,981,275","$163,274,115"
Lost in Translation,Lost-in-Translation_Screenplay.txt,"$4,000,000","$44,585,453","$117,085,297"
Annie Hall,Annie-Hall_Screenplay.txt,"$4,000,000","$38,251,425","$38,252,270"
Leaving Las Vegas,Leaving-Las-Vegas_Screenplay.txt,"$4,000,000","$31,983,777","$49,800,000"
Boyhood,Boyhood_Screenplay.txt,"$4,000,000","$25,379,975","$57,273,049"
Four Rooms,Four-Rooms_Screenplay.txt,"$4,000,000","$4,301,000","$4,301,000"
Midnight Cowboy,Midnight-Cowboy_Screenplay.txt,"$3,600,000","$44,785,053","$44,796,329"
Airplane!,Airplane_Screenplay.txt,"$3,500,000","$83,453,539","$83,454,307"
Gods and Monsters,Gods-and-Monsters_Screenplay.txt,"$3,500,000","$6,451,628","$6,451,628"
Margin Call,Margin-Call_Screenplay.txt,"$3,400,000","$5,353,586","$20,433,227"
Whiplash,Whiplash_Screenplay.txt,"$3,300,000","$13,092,006","$39,228,747"
Beginners,Beginners_Screenplay.txt,"$3,200,000","$5,790,894","$14,314,407"
Feast,Feast_Screenplay.txt,"$3,200,000","$56,131","$690,872"
It’s a Wonderful Life,It's-a-Wonderful-Life_Screenplay.txt,"$3,180,000","$12,241,691","$16,420,592"
Trainspotting,Trainspotting_Screenplay.txt,"$3,100,000","$16,501,785","$71,548,935"
Days of Heaven,Days-of-Heaven_Screenplay.txt,"$3,000,000","$3,446,749","$3,660,880"
Basquiat,Basquiat_Screenplay.txt,"$3,000,000","$2,962,051","$2,962,051"
Timber Falls,Timber-Falls_Screenplay.txt,"$2,600,000",$0,"$71,248"
Bonnie and Clyde,Bonnie-and-Clyde_Screenplay.txt,"$2,500,000","$50,700,000","$50,700,128"
Garden State,Garden-State_Screenplay.txt,"$2,500,000","$26,782,316","$36,028,802"
Mad Max 2: The Road Warrior,Mad-Max-2-The-Road-Warrior_Screenplay.txt,"$2,000,000","$23,667,907","$23,668,859"
American Splendor,American-Splendor_Screenplay.txt,"$2,000,000","$6,003,587","$8,685,632"
Buried,Buried_Screenplay.txt,"$1,987,650","$1,044,143","$21,270,290"
Taxi Driver,Taxi-Driver_Screenplay.txt,"$1,900,000","$28,262,574","$28,448,654"
